연번,기관명,이름,시,구,도로명,도로명 번호,건물번호,기타,도로명주소,전화번호,홈페이지,우편번호,LAT,LON,지번주소,지번주소주소데이터 URI,주소데이터 HTML 페이지
19,서대문구,서대문구육아종합지원센터,서울특별시,서대문구,연희로 ,,290,서대문구보건소 별관 우리들 1층, 서대문구 연희로 290 서대문구보건소 별관 우리들 1층,3217-9550, http://www.sdmccic.or.kr,120-848,37.58285518,126.9364413,서울특별시 서대문구 홍은동 425-3 (서대문보건소별관우리들),http://jusodata.kr/resource/1141011800104250003000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
20,마포구,도화 장난감대여점,서울특별시,마포구,도화4길,,53,,마포구 도화4길 53(도화동),712-2486,http://toyplaza.or.kr,121-814,37.53948981,126.9518994,서울특별시 마포구 도화동 357-8,http://jusodata.kr/resource/1144010400103570008003htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
21,마포구,망원 장난감대여점,서울특별시,마포구,포은로,6길,10,망원1동주민센터 1층,마포구 포은로6길 10(망원동) 망원1동주민센터 1층,325-0966,http://toyplaza.or.kr/,121-822,37.55558013,126.9055982,서울특별시 마포구 망원동 403-2 (망원1동주민센터),http://jusodata.kr/resource/1144012300104030002014htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
22,양천구,양천구 육아종합지원센터(영유아플라자),서울특별시,양천구,목동동로,,81,해누리타운3층,양천구 목동동로 81 해누리타운3층, 2646-7791,http://www.ychccic.or.kr,158-885,37.51593556,126.8638428,서울특별시 양천구 신정동 322-11 (해누리타운),http://jusodata.kr/resource/1147010100103220011000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
23,강서구,키득키득 놀잇감터,서울특별시,강서구,수명로,2길,50,,강서구 수명로2길 50,2064-2730~2, http://www.gskids.or.kr/,157-937,37.54939913,126.8262719,서울특별시 강서구 내발산동 748-4 (강서구 영유아플라자),http://jusodata.kr/resource/1150010600107480004000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
24,구로구,구로 꿈나무장난감나라(구로점),서울특별시,구로구,구로동로,26길,54,구로구 시설관리공단 3층,구로구 구로동로 26길 54(구로구 시설관리공단 3층),868-4008,http://toy.guro.go.kr,152-872,37.48984018,126.8865488,서울특별시 구로구 구로동 741-27 (구로구시설관리공단),http://jusodata.kr/resource/1153010200107410011020htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
25,구로구,구로 꿈나무장난감나라(개봉점),서울특별시,구로구,경인로,,319,개봉동 대림프라자 2층, 201호,구로구 경인로 319(개봉동 대림프라자 2층, 201호),2611-3202,37.49755894,126.8555897,서울특별시 구로구 개봉동 156-5 (대림프라자),http://jusodata.kr/resource/1153010700101560005005htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
26,금천구,장난감나라(시흥점),서울특별시,금천구,시흥대로,73길,70,지하1층,금천구 시흥대로73길 70(지하1층),894-2221,http://www.happycare.or.kr,153-701,37.45704856,126.8960095,서울특별시 금천구 시흥동 1020 (금천구 종합청사),http://jusodata.kr/resource/1154510300110200000000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
27,금천구,장난감나라(독산점),서울특별시,금천구,시흥대로,123길,11,4층,금천구 시흥대로123길 11(4층) ,858-5755,http://www.happycare.or.kr,153-812,37.47017928,126.8970323,서울특별시 금천구 독산동 289-5 (독산1동주민센터),http://jusodata.kr/resource/1154510200102890005016,http://jusodata.kr/main/ir/detail.jsp?uri=http://j
29,동작구,동작구육아종합지원센터(영유아플라자),서울특별시,동작구,여의대방로,36길,,3층 5층,동작구 여의대방로 36길(대방동 385-2) 3층 5층,823-4567,www.dccic.go.kr,156-810,37.50457524,126.9229519,서울특별시 동작구 대방동 385-2 (동작구보육정보센터),http://jusodata.kr/resource/1159010800103850002000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
30,동작구,로야장난감대여점,서울특별시,동작구,매봉로,,37,동작상도국주도서관 내 1층,동작구 매봉로 37(상도1동 514번지)동작상도국주도서관 내 1층,823-4568,www.dccic.go.kr,156-830,37.50678154,126.9509832,서울특별시 동작구 상도1동 514 (동작상도국주도서관),http://jusodata.kr/resource/1159010300105140000029htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
31,동작구,사당영유아돌보미센터,서울특별시,동작구,남부순환로,,2081,,동작구 남부순환로 2081(사당1동 1044-42번지) 3층,583-4569,www.dccic.go.kr,156-827,37.47697826,126.9798399,서울특별시 동작구 사당동 1044-42,http://jusodata.kr/resource/1159010700110440042000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
32,동작구,신대방영유아돌보미센터,서울특별시,동작구,신대방,11길,24,,동작구 신대방11길 24(신대방1동 607-115번지),849-9760,www.dccic.go.kr,156-853,37.48875097,126.9083677,서울특별시 동작구 신대방동 607-115 (신대방치안센터),http://jusodata.kr/resource/1159010900106070115003htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
33,관악구,꿈놀이터,서울특별시,관악구,쑥고개로,,128,,관악구 쑥고개로 128,851-2834,http://gweducare.winbook.kr,151-846,37.47865249,126.9506666,서울특별시 관악구 봉천동 1571-1,http://jusodata.kr/resource/1162010100115710001034htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
34,서초구,서초구 육아종합지원센터(장난감 도서관),서울특별시,서초구,남부순환로,347길,46,,서초구 남부순환로 347길 46,598-9340,http://youngua.seocho.go.kr/,137-863,37.48638413,127.0314072,서울특별시 서초구 서초동 1360-26 (서초구청 직장어린이집),http://jusodata.kr/resource/1165010800113600026000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
35,강남구,강남구육아종합지원센터(개포점),서울특별시,강남구,영동대로,3길 ,9,3층,강남구 영동대로3길 9, 3층 (개포2동 189-3),546-1752~4,www.gncare.go.kr,37.48795016,127.0736886,서울특별시 강남구 개포동 189-3,http://jusodata.kr/resource/1168010300101890003019htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
36,강남구,강남구육아종합지원센터(논현점),서울특별시,강남구,학동로,43길,17,2층,강남구 학동로43길 17, 2층 (논현2동 114-24),546-1874~5,www.gncare.go.kr,37.51723999,127.0371735,서울특별시 강남구 논현동 114-24 (논현2동주민센터),http://jusodata.kr/resource/1168010800101140024005htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
37,강남구,강남구육아종합지원센터(대치점),서울특별시,강남구,영동대로,65길,11,4층,강남구 영동대로65길 11, 4층 (대치2동 985-1),546-1768~9,www.gncare.go.kr,37.50185009,127.0655427,서울특별시 강남구 대치동 985-1 (어린이집),http://jusodata.kr/resource/1168010600109850001000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
38,강남구,강남구육아종합지원센터(도곡점),서울특별시,강남구,도곡로,18길,57,1층,강남구 도곡로18길 57, 1층 (도곡동 892-6),529-1742~3,www.gncare.go.kr,37.48827204,127.0388679,서울특별시 강남구 도곡동 892-6 (도곡정보문화도서관),http://jusodata.kr/resource/1168011800108920006000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
39,송파구,놀이감대여실,서울특별시,송파구,중대로,,235,,송파구 중대로 235(오금동),449-0505(내선 5),http://kids.songpa.go.kr,138-857,37.50270519,127.1283871,서울특별시 송파구 오금동 50 (송파어린이문화회관),http://jusodata.kr/resource/1171011200100500000000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
40,강동구,동동레코텍(성내점),서울특별시,강동구,성내로,6길,16,강동어린이회관,성내로6길 16 강동어린이회관,486-9277,http://www.gdkids.or.kr/ <br>,134-851,37.52915791,127.1223915,서울특별시 강동구 성내동 556-1 (강동어린이회관),http://jusodata.kr/resource/1174010800105560001000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
41,강동구,동동레코텍(천호점),서울특별시,강동구,상암로,,168,강동구민회관 2층,상암로 168 강동구민회관 2층,487-3516~7,http://www.gdkids.or.kr/ <br>,134-861,37.54572982,127.1412053,서울특별시 강동구 천호동 41 (강동구민회관),http://jusodata.kr/resource/1174010900100410000014,http://jusodata.kr/main/ir/detail.jsp?uri=http://j
